x_coord,D_T
-200.0,1.1690645573466944e-06
-180.0,3.720817097721262e-06
-160.0,3.6177504958027954e-06
-140.0,-8.033202557988282e-08
-120.0,-1.1197481378410405e-06
-100.0,-1.0368017263563032e-06
-80.0,-7.75138636029701e-07
-60.0,-5.63468214651974e-07
-50.0,-1.3537300220738653e-07
-40.0,-5.283042556463659e-07
-30.0,-1.0093611405382624e-06
-25.0,-8.58013224610863e-07
-20.0,-8.738331140066146e-07
-15.0,-1.1304549936562372e-06
-10.0,-2.275014251660225e-06
-5.0,-3.0766835138305594e-06
0.0,-1.22646096842709e-06
5.0,5.236555752349606e-07
10.0,5.079895022573258e-07
20.0,4.882016088914235e-07
30.0,4.7147121567075617e-07
40.0,4.730463944131323e-07
60.0,5.427648027910841e-07
80.0,6.614995275526663e-07
100.0,7.899054022740656e-07
120.0,8.499751020867886e-07
140.0,8.139185502871387e-07
160.0,7.34141231574533e-07
180.0,6.667341543462625e-07
200.0,6.107988674116928e-07
220.0,5.454837602047254e-07
240.0,4.7580465765478116e-07
260.0,4.107361729700095e-07
280.0,3.536953042995252e-07
300.0,3.1983803925630176e-07
320.0,3.281365002940125e-07
340.0,3.872176811982547e-07
360.0,4.923030970281623e-07
380.0,6.200281639986572e-07
400.0,7.187103596582967e-07
420.0,7.425812710409215e-07
440.0,7.011303252967728e-07
460.0,6.579960945280591e-07
480.0,6.660720328612297e-07
500.0,7.051203243754754e-07
520.0,7.364736070607965e-07
540.0,7.616347993075303e-07
560.0,7.89207290068305e-07
580.0,8.030043901992988e-07
600.0,7.78049005377594e-07
620.0,7.09063557857937e-07
640.0,6.108233784099451e-07
660.0,5.118355147960674e-07
680.0,4.4456848589951514e-07
700.0,4.128042968017795e-07
720.0,3.751286053976226e-07
740.0,2.856497603979349e-07
760.0,1.5387573747644835e-07
780.0,3.459720081376786e-08
800.0,-2.861341883093563e-08
820.0,-2.9343721617673027e-08
840.0,2.6857304400914787e-08
860.0,1.41312305103808e-07
880.0,3.1060857723882647e-07
900.0,5.123019958557941e-07
920.0,7.116553268555232e-07
940.0,8.838754539592864e-07
960.0,1.0103529495011648e-06
980.0,1.0686930115507698e-06
1000.0,1.0495924533705565e-06
1020.0,9.76563423281435e-07
1040.0,9.017180922974596e-07
1060.0,8.727762616857485e-07
1080.0,8.945499299013119e-07
1100.0,9.350699391362716e-07
1120.0,9.728722963895449e-07
1140.0,1.0158535858896323e-06
1160.0,1.0879659539730567e-06
1180.0,1.1872579504286006e-06
1200.0,1.2806977640763164e-06
1220.0,1.3302173631497325e-06
1240.0,1.3185704894025477e-06
1260.0,1.2452128926393076e-06
1280.0,1.1269634444828547e-06
1300.0,9.864316075258569e-07
1320.0,8.540940343104797e-07
1340.0,7.521934884470924e-07
1360.0,6.949026337157279e-07
1380.0,6.593309494623405e-07
1400.0,6.634449502335518e-07
1420.0,6.707684680360435e-07
1440.0,7.019647506759684e-07
1460.0,6.689919942125322e-07
1480.0,6.84489009838152e-07
1500.0,7.845511593201076e-07
