x_coord,kyy
-200.0,0.0
-180.0,799.3603810917568
-160.0,5088.296809951135
-140.0,5746.711412741825
-120.0,4978.441050111351
-100.0,4215.431930819784
-80.0,3560.592556563653
-60.0,3155.413299053308
-50.0,2967.749981544122
-40.0,3062.8505638805414
-30.0,2606.516307852485
-25.0,2461.7892636763354
-20.0,2313.1784576557434
-15.0,2163.042904365058
-10.0,1926.698123703215
-5.0,1385.2602658146748
0.0,874.8405278111114
5.0,965.9573768740258
10.0,1053.8680722322686
20.0,1223.240255515263
30.0,1387.6811331667318
40.0,1545.6137315120409
60.0,1884.235038542163
80.0,2287.8561858070952
100.0,2788.849763595914
120.0,3368.0686856410207
140.0,3951.2088602402528
160.0,4481.119677994945
180.0,4955.162666236802
200.0,5392.892866933269
220.0,5790.443156233493
240.0,6138.853553533453
260.0,6441.1161826468115
280.0,6700.5440381140525
300.0,6924.802061660904
320.0,7137.9293844256335
340.0,7373.535730589994
360.0,7667.457829455735
380.0,8046.7707250409685
400.0,8515.35957955422
420.0,9029.622484287023
440.0,9530.855319691791
460.0,9988.433171260174
480.0,10430.679025296104
500.0,10899.300894933314
520.0,11394.946121184465
540.0,11906.444274196883
560.0,12436.49796796503
580.0,12985.70209068673
600.0,13534.623613412688
620.0,14049.700714664521
640.0,14504.283165265088
660.0,14885.014723974562
680.0,15204.229157975
700.0,15492.971618709507
720.0,15768.747846044083
740.0,16005.967994515007
760.0,16159.379991194744
780.0,16216.396350321531
800.0,16206.69240185899
820.0,16177.266889255463
840.0,16166.56423614218
860.0,16213.99482635045
880.0,16359.811829985723
900.0,16638.758686330482
920.0,17060.39574550285
940.0,17611.962537613945
960.0,18269.114297008513
980.0,18993.6417642064
1000.0,19730.574803847492
1020.0,20428.98184999158
1040.0,21066.046132024596
1060.0,21662.100590314058
1080.0,22259.58630116014
1100.0,22885.416715540014
1120.0,23538.314404001365
1140.0,24215.840348897436
1160.0,24927.515868277926
1180.0,25703.657015921166
1200.0,26551.116460055127
1220.0,27455.03854753475
1240.0,28370.217100503603
1260.0,29258.211839506464
1280.0,30073.072312926426
1300.0,30799.358407287375
1320.0,31422.038593715326
1340.0,31967.35023167505
1360.0,32450.67924634922
1380.0,32917.644417467694
1400.0,33352.3283945715
1420.0,33824.919549566774
1440.0,34269.61859360168
1460.0,34784.87133105857
1480.0,35184.479426755555
1500.0,35720.92466389751
