x_coord,lambda_eff_f
0.0,0.6
5.0,0.9181468486785889
10.0,1.2362936735153198
20.0,1.8725873231887817
30.0,2.508881092071533
40.0,3.1451746823630407
60.0,4.799188546158516
80.0,6.480672301301156
100.0,8.15488116303954
120.0,9.830153844488919
140.0,11.72252900300894
160.0,13.42950237954826
180.0,15.32574010004545
200.0,17.681392350327133
220.0,20.40062585350696
240.0,23.30891544104685
260.0,26.693375810507284
280.0,29.14519806078829
300.0,31.3893560210727
320.0,33.74353655321557
340.0,35.94437129330157
360.0,37.67611424094044
380.0,39.63990132117849
400.0,42.35529212134907
420.0,44.30412696259018
440.0,46.685818362356585
460.0,49.13916404507842
480.0,50.54337235335244
500.0,51.9854901538356
520.0,53.6286575281928
540.0,55.55995183814295
560.0,58.12771135466121
580.0,62.08401641657863
600.0,64.89966258684558
620.0,67.55751266748183
640.0,70.07676753800344
660.0,71.31288436678823
680.0,73.55813278638163
700.0,74.3645164115213
720.0,76.56502336300554
740.0,79.85013036891297
760.0,84.42489117210472
780.0,90.05683649652964
800.0,94.17151568509308
820.0,96.7786048260909
840.0,98.04843302484541
860.0,98.8840890376389
880.0,99.9038562328403
900.0,100.814869264259
920.0,101.39429079774759
940.0,101.1948841143237
960.0,100.70790871284206
980.0,99.76962357367381
1000.0,100.95035559707763
1020.0,102.13670247553964
1040.0,104.07737163638737
1060.0,107.7451575230588
1080.0,111.199244819772
1100.0,116.23944810909393
1120.0,121.9904588034134
1140.0,126.31986256336404
1160.0,129.50686242836008
1180.0,131.64582898423166
1200.0,130.83962232279416
1220.0,127.61997905729856
1240.0,123.88767604913014
1260.0,120.0356903800903
1280.0,116.84286978719224
1300.0,114.51685154287168
1320.0,115.20903041046749
1340.0,117.19999270841954
1360.0,119.54735520098873
1380.0,120.7131932036399
1400.0,119.85205721901028
1420.0,117.54047504860308
1440.0,115.15884133968484
1460.0,112.75247152409693
1480.0,110.81409664167606
1500.0,109.83199924124294
