x_coord,D_T
-200.0,0.0
-180.0,0.0
-160.0,0.0
-140.0,0.0
-120.0,0.0
-100.0,0.0
-80.0,0.0
-60.0,1.4959188405885696e-06
-50.0,1.5573304979338952e-06
-40.0,1.7480312509625773e-07
-30.0,-5.791699533991231e-07
-25.0,-6.111627864200129e-07
-20.0,-5.991418014880654e-07
-15.0,-6.078724292178787e-07
-10.0,-6.258350411450241e-07
-5.0,-6.085319717052032e-07
0.0,1.5581243184390414e-08
5.0,6.417131576200558e-07
10.0,6.542720205684449e-07
20.0,6.606093586852817e-07
30.0,6.912117678832175e-07
40.0,6.842933115097228e-07
60.0,6.316711628898419e-07
80.0,6.401212569366687e-07
100.0,6.436576064122915e-07
120.0,6.45678921720416e-07
140.0,6.464840807266205e-07
160.0,6.455633857122129e-07
180.0,6.424316814379206e-07
200.0,6.428252557364396e-07
220.0,6.460008956702697e-07
240.0,6.40845007217755e-07
260.0,6.370069246996732e-07
280.0,6.353286419270373e-07
300.0,6.289104617867332e-07
320.0,6.285014665715215e-07
340.0,6.284275268179055e-07
360.0,6.290055153217606e-07
380.0,6.281254535759509e-07
400.0,6.225166610321592e-07
420.0,6.249225304542276e-07
440.0,6.216828958716974e-07
460.0,6.169325336824614e-07
480.0,6.114110370247092e-07
500.0,6.005604117198739e-07
520.0,6.021866478753867e-07
540.0,6.003393929384987e-07
560.0,5.98599801009669e-07
580.0,5.984962982347469e-07
600.0,5.941539818774527e-07
620.0,6.014676460701357e-07
640.0,6.030973560614649e-07
660.0,5.971724495381089e-07
680.0,6.017104457124404e-07
700.0,6.003666759844697e-07
720.0,5.998665219720697e-07
740.0,5.993276737955048e-07
760.0,5.999124323441062e-07
780.0,6.041651140090018e-07
800.0,5.965324569482407e-07
820.0,5.917246693970763e-07
840.0,5.907496741867707e-07
860.0,5.891470350850746e-07
880.0,5.872042298607559e-07
900.0,5.860477976441616e-07
920.0,5.861963191773935e-07
940.0,5.868432260799794e-07
960.0,5.875753558950733e-07
980.0,5.881680102981686e-07
1000.0,5.88677275550964e-07
1020.0,5.893007993358797e-07
1040.0,5.903290941308246e-07
1060.0,5.914213579635163e-07
1080.0,5.916145411490911e-07
1100.0,5.906995765441511e-07
1120.0,5.89236505205063e-07
1140.0,5.879448451216805e-07
1160.0,5.863370355828427e-07
1180.0,5.848018135252078e-07
1200.0,5.841000935495522e-07
1220.0,5.8457316801406e-07
1240.0,5.870022794573019e-07
1260.0,5.913540982356459e-07
1280.0,5.979053634325799e-07
1300.0,6.068931414067514e-07
1320.0,6.184122133025121e-07
1340.0,6.326252386435926e-07
1360.0,6.502293971188893e-07
1380.0,6.721125524959448e-07
1400.0,6.984820930639585e-07
1420.0,7.319928761414516e-07
1440.0,7.732612086624768e-07
1460.0,8.269324299870715e-07
1480.0,8.871229241468557e-07
1500.0,9.156899718073873e-07
