x_coord,kyy
-200.0,0.0
-180.0,0.0
-160.0,0.0
-140.0,0.0
-120.0,0.0
-100.0,0.0
-80.0,0.0
-60.0,0.0
-50.0,767.1378269591418
-40.0,1064.8413502412736
-30.0,886.6613295174243
-25.0,782.7012014143161
-20.0,677.7167902651241
-15.0,577.8664005390488
-10.0,469.8971594412357
-5.0,363.9057058999529
0.0,261.8520440096561
5.0,369.23262656737575
10.0,481.24115445676193
20.0,704.25528790826
30.0,932.9398545192818
40.0,1176.8787118968821
60.0,1604.8019284176319
80.0,2040.7025115238337
100.0,2480.181412038991
120.0,2920.918028544067
140.0,3363.1611208923932
160.0,3804.9988095262993
180.0,4245.982831788214
200.0,4683.537847974084
220.0,5125.060091490911
240.0,5566.957863077135
260.0,6001.429319071656
280.0,6438.078430882305
300.0,6870.254799358703
320.0,7298.126912817673
340.0,7729.743971606388
360.0,8157.514970873885
380.0,8589.922441280027
400.0,9016.489937323324
420.0,9441.22726419413
440.0,9871.084838030547
460.0,10291.391895452798
480.0,10714.75324758877
500.0,11127.509540463361
520.0,11536.032430865112
540.0,11951.012636397867
560.0,12357.009366239807
580.0,12769.610642674566
600.0,13175.465830262314
620.0,13582.12889638242
640.0,13997.985675879501
660.0,14406.877405202405
680.0,14814.631748548967
700.0,15229.729284513525
720.0,15635.645994071441
740.0,16050.059558747183
760.0,16455.239381920775
780.0,16870.452616394658
800.0,17281.4480725276
820.0,17686.22348553546
840.0,18090.644189559658
860.0,18494.086275804064
880.0,18896.315336644922
900.0,19297.10059527173
920.0,19697.74821036987
940.0,20098.736575363884
960.0,20500.26884946093
980.0,20902.25841760596
1000.0,21304.601159250713
1020.0,21707.287158500305
1040.0,22110.482582231383
1060.0,22514.57479656422
1080.0,22919.263914403215
1100.0,23323.62031086623
1120.0,23727.058195076093
1140.0,24129.41381025051
1160.0,24531.085321723094
1180.0,24931.24222303101
1200.0,25330.81428556717
1220.0,25730.01156982866
1240.0,26130.230571793825
1260.0,26532.74971780854
1280.0,26938.91992485199
1300.0,27350.398065874313
1320.0,27768.85925116083
1340.0,28196.08996889989
1360.0,28633.987769747826
1380.0,29085.292550000355
1400.0,29553.11603296928
1420.0,30040.48172286294
1440.0,30554.13191704984
1460.0,31097.932932627024
1480.0,31684.97966770258
1500.0,32311.0924689384
