time,vt_average,vt_std_dev,vt_margin_of_error
100000000.0,1.3856603037230635e-07,3.6863147812970974e-08,7.225044207019957e-09
200000000.0,9.86172550731074e-08,2.5913706027505977e-08,5.078993051987023e-09
300000000.0,9.784397131057642e-08,2.5787071727160567e-08,5.05417318519858e-09
400000000.0,9.745472042494352e-08,2.5636386383582443e-08,5.024639400557463e-09
500000000.0,9.720716832471662e-08,2.5438479737079557e-08,4.985850410612788e-09
600000000.0,9.703744410145256e-08,2.5220382960720855e-08,4.943104227932054e-09
700000000.0,9.69177627190956e-08,2.4996667845832442e-08,4.8992568711342e-09
800000000.0,9.682690869250066e-08,2.4766634183566444e-08,4.854171101806879e-09
900000000.0,9.674736828850068e-08,2.4525775727433435e-08,4.806963711867618e-09
1000000000.0,9.666664058777683e-08,2.4271141927393694e-08,4.757056404135171e-09
1100000000.0,9.657803766223718e-08,2.400225026660797e-08,4.7043546070468526e-09
1200000000.0,9.647725872779561e-08,2.3720301672696864e-08,4.6490936980911054e-09
1300000000.0,9.636289732011393e-08,2.342583166469912e-08,4.591378637070825e-09
1400000000.0,9.623524831969156e-08,2.3118505286939374e-08,4.53114377388e-09
1500000000.0,9.609555821056266e-08,2.2799446125910086e-08,4.468609327424503e-09
1600000000.0,9.594622922520347e-08,2.246929667113215e-08,4.403901223336473e-09
1700000000.0,9.578957599229013e-08,2.2129740151529453e-08,4.337349368422768e-09
1800000000.0,9.562869207386907e-08,2.1783496473482153e-08,4.269486854538029e-09
1900000000.0,9.546696963764617e-08,2.1433653048064842e-08,4.200918803133424e-09
2000000000.0,9.530673804419198e-08,2.108318655414356e-08,4.13222863254605e-09
2100000000.0,9.514949480883257e-08,2.073446729063916e-08,4.063880912827656e-09
2200000000.0,9.499730749606281e-08,2.0390208404151543e-08,3.996407410940296e-09
2300000000.0,9.485137484816637e-08,2.005246211060837e-08,3.930210353814644e-09
2400000000.0,9.471161364658602e-08,1.972286329867859e-08,3.865610173741689e-09
2500000000.0,9.457849117053665e-08,1.9402410451630876e-08,3.8028025698460044e-09
2600000000.0,9.44517319927911e-08,1.9091506089933264e-08,3.741866434689631e-09
2700000000.0,9.433098954209988e-08,1.8790595304010553e-08,3.682889004392815e-09
2800000000.0,9.421580833279479e-08,1.850073074511785e-08,3.6260765948103864e-09
2900000000.0,9.410544906117842e-08,1.822150133273324e-08,3.571348635640575e-09
3000000000.0,9.400001735767309e-08,1.7952010555923136e-08,3.518529413969222e-09
3100000000.0,9.389887945368789e-08,1.769243598083387e-08,3.467653732121497e-09
3200000000.0,9.380125243576176e-08,1.744294900084969e-08,3.418755182583431e-09
3300000000.0,9.370729400872304e-08,1.720266945682492e-08,3.371661257332406e-09
3400000000.0,9.361676820848436e-08,1.6971218349877696e-08,3.326297673952557e-09
3500000000.0,9.35296513444378e-08,1.674897732341594e-08,3.2827392331773313e-09
3600000000.0,9.344570852474244e-08,1.6534561126217598e-08,3.2407144307562525e-09
