x_coord,D_L
40.0,5.59265788246883e-07
60.0,6.13889784833155e-07
80.0,6.297932735816399e-07
100.0,6.339072739228282e-07
120.0,6.341835237874068e-07
140.0,6.331140114224627e-07
160.0,6.316398119584563e-07
180.0,6.300700288737382e-07
200.0,6.285709817165857e-07
220.0,6.271698428782103e-07
240.0,6.258986411372048e-07
260.0,6.247392045677127e-07
280.0,6.23697801480533e-07
300.0,6.227524337801973e-07
320.0,6.218986992852445e-07
340.0,6.211224364211376e-07
360.0,6.204139194896103e-07
380.0,6.197665214782485e-07
400.0,6.191689405303042e-07
420.0,6.186179854710553e-07
440.0,6.18107004504634e-07
460.0,6.17630875498072e-07
480.0,6.171875068002063e-07
500.0,6.167720813940906e-07
520.0,6.163818179698689e-07
540.0,6.160142127245048e-07
560.0,6.156668504521732e-07
580.0,6.153378375419497e-07
600.0,6.150257565247749e-07
620.0,6.147289073859391e-07
640.0,6.144459529969231e-07
660.0,6.141762898686275e-07
680.0,6.139184666721609e-07
700.0,6.136716446329088e-07
720.0,6.134352360220283e-07
740.0,6.132087761548587e-07
760.0,6.12991001225091e-07
780.0,6.127819166428941e-07
800.0,6.125804357643614e-07
820.0,6.123864489362372e-07
840.0,6.12199777695243e-07
860.0,6.120193280968027e-07
880.0,6.118453971070624e-07
900.0,6.116773770570639e-07
920.0,6.11515250630473e-07
940.0,6.113583129743911e-07
960.0,6.112063444695e-07
980.0,6.110595121195721e-07
1000.0,6.109172781386544e-07
1020.0,6.107796309002038e-07
1040.0,6.106458774741212e-07
1060.0,6.105167108093361e-07
1080.0,6.103914079882332e-07
1100.0,6.10269656386782e-07
1120.0,6.101516568868024e-07
1140.0,6.100370520111473e-07
1160.0,6.099259373261492e-07
1180.0,6.098180429614074e-07
1200.0,6.097133658095494e-07
1220.0,6.096114839507353e-07
1240.0,6.095125201133571e-07
1260.0,6.094162064581079e-07
1280.0,6.093220102848099e-07
1300.0,6.092285553594509e-07
1320.0,6.091323649686227e-07
1340.0,6.090273022262311e-07
1360.0,6.089019392599382e-07
1380.0,6.087346422406667e-07
1400.0,6.0849027215294e-07
1420.0,6.081094948329552e-07
1440.0,6.075029549350531e-07
1460.0,6.066291425565684e-07
1480.0,6.045726526896718e-07
1500.0,6.058661092107553e-07
