x_coord,D_T
-200.0,1.7413058799450734e-07
-180.0,3.505736809869817e-07
-160.0,6.275249071427807e-07
-140.0,7.436634149964241e-07
-120.0,8.354040482240934e-07
-100.0,8.114039416519708e-07
-80.0,6.149743155834545e-07
-60.0,2.5979237871041423e-07
-50.0,-7.845360579252756e-09
-40.0,-2.8842342734111735e-07
-30.0,-5.835461006696197e-07
-25.0,-8.777841312629986e-07
-20.0,-1.2868460005540598e-06
-15.0,-2.2107771675457598e-06
-10.0,-2.359971644775799e-06
-5.0,-2.3864635838368936e-06
0.0,-1.14779505034602e-06
5.0,6.97482260191048e-07
10.0,6.943340535354999e-07
20.0,6.896271458724912e-07
30.0,6.731108721944289e-07
40.0,6.559337660453377e-07
60.0,6.279568002425834e-07
80.0,5.973861343006825e-07
100.0,5.717997010322834e-07
120.0,5.530037379280549e-07
140.0,5.415497287752277e-07
160.0,5.360644151397763e-07
180.0,5.336484004494959e-07
200.0,5.326829413986214e-07
220.0,5.332023620578549e-07
240.0,5.355374380390153e-07
260.0,5.396456597566655e-07
280.0,5.445182615098917e-07
300.0,5.491090823764862e-07
320.0,5.533918129566969e-07
340.0,5.576057361024227e-07
360.0,5.621412766955084e-07
380.0,5.67687412651619e-07
400.0,5.735138352525109e-07
420.0,5.780908693211955e-07
440.0,5.812567217398304e-07
460.0,5.844140534209516e-07
480.0,5.890551775655577e-07
500.0,5.950662103397317e-07
520.0,6.010249563199727e-07
540.0,6.028616538902919e-07
560.0,5.989901145078598e-07
580.0,5.90940691896106e-07
600.0,5.805362459431957e-07
620.0,5.716640561789987e-07
640.0,5.66696873540788e-07
660.0,5.661728494120105e-07
680.0,5.692660427852477e-07
700.0,5.735523510013349e-07
720.0,5.771385137063298e-07
740.0,5.791396808692755e-07
760.0,5.776793918929362e-07
780.0,5.745348400443495e-07
800.0,5.729358325149569e-07
820.0,5.749682074000764e-07
840.0,5.808067743940504e-07
860.0,5.866266368989305e-07
880.0,5.905280204733982e-07
900.0,5.907419800250885e-07
920.0,5.887426223883684e-07
940.0,5.888837289576496e-07
960.0,5.938241098808536e-07
980.0,6.042787915333488e-07
1000.0,6.194187720224163e-07
1020.0,6.354170323069453e-07
1040.0,6.47184424761651e-07
1060.0,6.526146292030671e-07
1080.0,6.518142820404189e-07
1100.0,6.461206711604171e-07
1120.0,6.383507881301701e-07
1140.0,6.314256030156393e-07
1160.0,6.264102100760144e-07
1180.0,6.237999280395e-07
1200.0,6.243888310839515e-07
1220.0,6.282642944172348e-07
1240.0,6.375232798250172e-07
1260.0,6.504365257264317e-07
1280.0,6.651916019415841e-07
1300.0,6.754650516892271e-07
1320.0,6.81664952188147e-07
1340.0,6.774227059633327e-07
1360.0,6.704864932397164e-07
1380.0,6.484594129629105e-07
1400.0,6.312616071750516e-07
1420.0,5.95098830347088e-07
1440.0,5.83579258621543e-07
1460.0,5.403101045411278e-07
1480.0,6.076728453828621e-07
1500.0,7.494945212575733e-07
