time,vt
100000000.0,1.296512598107952e-07
200000000.0,9.204526823533018e-08
300000000.0,9.071803957560721e-08
400000000.0,9.000761959342038e-08
500000000.0,8.957453797754173e-08
600000000.0,8.926397124857767e-08
700000000.0,8.904780733967222e-08
800000000.0,8.887718719820322e-08
900000000.0,8.873319673014088e-08
1000000000.0,8.862929529356009e-08
1100000000.0,8.853928509298639e-08
1200000000.0,8.846354624577731e-08
1300000000.0,8.83973245658402e-08
1400000000.0,8.833957947004652e-08
1500000000.0,8.829096355500142e-08
1600000000.0,8.825296775937168e-08
1700000000.0,8.822350924222113e-08
1800000000.0,8.81801375242282e-08
1900000000.0,8.814288967191718e-08
2000000000.0,8.812693473508545e-08
2100000000.0,8.810564178773274e-08
2200000000.0,8.80827446567186e-08
2300000000.0,8.805326460897156e-08
2400000000.0,8.802824005732318e-08
2500000000.0,8.802977687844942e-08
2600000000.0,8.801749985840578e-08
2700000000.0,8.798304956899168e-08
2800000000.0,8.797130165123445e-08
2900000000.0,8.79628114390833e-08
3000000000.0,8.795482135003472e-08
3100000000.0,8.794772784879068e-08
3200000000.0,8.792952480455988e-08
3300000000.0,8.791839214804966e-08
3400000000.0,8.790962153171121e-08
3500000000.0,8.789611007520928e-08
3600000000.0,8.789743202337505e-08
3700000000.0,8.789010912991282e-08
3800000000.0,8.787628635402473e-08
3900000000.0,8.787126600472911e-08
4000000000.0,8.785496011930135e-08
4100000000.0,8.786097138716134e-08
4200000000.0,8.78661838443049e-08
4300000000.0,8.784149800754044e-08
4400000000.0,8.783616335704743e-08
4500000000.0,8.783619509653654e-08
4600000000.0,8.782351273008848e-08
4700000000.0,8.782682704025208e-08
4800000000.0,8.782646619837536e-08
4900000000.0,8.781811237207698e-08
5000000000.0,8.780939547375854e-08
5100000000.0,8.780348199765991e-08
5200000000.0,8.780025705024181e-08
5300000000.0,8.779473148888988e-08
5400000000.0,8.779384086131808e-08
5500000000.0,8.779621484668569e-08
5600000000.0,8.779412078223833e-08
5700000000.0,8.777857976175525e-08
5800000000.0,8.777567335747294e-08
5900000000.0,8.778085493328352e-08
6000000000.0,8.777291780955034e-08
6100000000.0,8.777082323338446e-08
6200000000.0,8.776959330025123e-08
6300000000.0,8.776784767329639e-08
6400000000.0,8.776105929490919e-08
6500000000.0,8.774899960113756e-08
6600000000.0,8.775420924892268e-08
6700000000.0,8.776078093021705e-08
6800000000.0,8.774987314102231e-08
6900000000.0,8.774784586105769e-08
7000000000.0,8.774740765724815e-08
7100000000.0,8.774109054813182e-08
7200000000.0,8.774632297362319e-08
7300000000.0,8.774229740887851e-08
7400000000.0,8.77411565206261e-08
7500000000.0,8.773120178725486e-08
7600000000.0,8.772901306755894e-08
7700000000.0,8.774049829349535e-08
